"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.073000002E1,6.650186896E1,2.575298450E1,9.467626271E1,1.032137545E0,4.987736511E1,4.746962324E0,3.360191322E0
4.172999644E1,6.650188137E1,2.575302263E1,9.569276700E1,1.329019092E0,5.210577774E1,4.747560861E0,3.359345606E0
4.272999299E1,6.650188539E1,2.575303557E1,9.669109838E1,1.617306486E0,5.210577774E1,4.747129864E0,3.359954626E0
4.372998869E1,6.650190205E1,2.575308920E1,9.744992627E1,1.481526854E0,5.210577774E1,4.747568675E0,3.359334564E0
4.472998440E1,6.650191318E1,2.575312592E1,9.783554810E1,1.573334293E0,5.394706345E1,4.744276736E0,3.363982057E0
4.572998059E1,6.650191556E1,2.575315705E1,9.839891730E1,1.274143074E0,5.394706345E1,4.744962442E0,3.363014786E0
4.672997713E1,6.650191892E1,2.575319837E1,9.860566078E1,1.356724798E0,5.603429794E1,4.744704305E0,3.363378970E0
4.772997320E1,6.650192385E1,2.575322379E1,9.886760946E1,1.459259026E0,5.603429794E1,4.743985537E0,3.364392703E0
4.872996914E1,6.650192538E1,2.575325867E1,9.926986867E1,1.348129370E0,5.751309967E1,4.744926480E0,3.363065526E0
4.972996557E1,6.650193245E1,2.575329440E1,9.947563243E1,1.301840838E0,5.751309967E1,4.743996580E0,3.364377132E0
5.072996128E1,6.650193491E1,2.575332873E1,9.917068604E1,1.142568703E0,5.751309967E1,4.744856223E0,3.363164649E0
5.172995710E1,6.650193884E1,2.575331626E1,9.851056581E1,1.495504056E0,5.751309967E1,4.729932217E0,3.384121489E0
5.272995377E1,6.650194376E1,2.575335424E1,9.908637903E1,1.548005693E0,5.834353256E1,4.730032981E0,3.383980649E0
5.372994983E1,6.650194943E1,2.575338946E1,1.000892545E2,1.553994739E0,5.834353256E1,4.729621033E0,3.384556384E0
5.472994554E1,6.650195489E1,2.575342321E1,1.006724417E2,1.535578029E0,5.834353256E1,4.729995549E0,3.384032969E0
5.572994161E1,6.650195832E1,2.575345598E1,1.009384254E2,1.514474156E0,6.008714294E1,4.730979454E0,3.382657305E0
5.672993720E1,6.650196363E1,2.575348886E1,1.011639162E2,1.525519578E0,6.008714294E1,4.727694761E0,3.387246563E0
5.772993386E1,6.650197190E1,2.575352115E1,1.021279423E2,1.538296818E0,6.008714294E1,4.724837300E0,3.391231270E0
5.872993004E1,6.650197949E1,2.575355199E1,1.027911310E2,1.488351452E0,6.008714294E1,4.723559995E0,3.393010169E0
5.972992587E1,6.650198512E1,2.575358633E1,1.029427442E2,1.534627879E0,6.008714294E1,4.723373138E0,3.393270285E0
6.072992182E1,6.650198970E1,2.575361483E1,1.032123370E2,1.467720629E0,6.008714294E1,4.725957516E0,3.389669982E0
6.172991753E1,6.650199770E1,2.575364316E1,1.033003337E2,1.505263744E0,6.008714294E1,4.726602625E0,3.388770376E0
6.272991359E1,6.650200810E1,2.575367169E1,1.039788634E2,1.550273878E0,6.008714294E1,4.725776646E0,3.389922142E0
6.372990966E1,6.650201354E1,2.575370318E1,1.042833202E2,1.534876797E0,6.151699066E1,4.724560115E0,3.391617424E0
6.472990525E1,6.650202211E1,2.575372939E1,1.037661659E2,1.519916660E0,6.151699066E1,4.725576266E0,3.390201467E0
6.572990239E1,6.650202874E1,2.575376184E1,1.038868534E2,1.544188687E0,6.151699066E1,4.726897672E0,3.388358811E0
6.672989774E1,6.650203699E1,2.575379517E1,1.040611315E2,1.539343347E0,6.188222504E1,4.726959495E0,3.388272563E0
6.772989416E1,6.650204422E1,2.575382129E1,1.040756077E2,1.511182848E0,6.188222504E1,4.727656082E0,3.387300548E0
6.872989047E1,6.650205170E1,2.575384546E1,1.033596198E2,1.387873539E0,6.188222504E1,4.733113219E0,3.379671032E0
6.972988534E1,6.650206731E1,2.575387264E1,1.038825950E2,1.581393458E0,6.188222504E1,4.735046870E0,3.376961382E0
7.072988069E1,6.650207484E1,2.575389545E1,1.038136311E2,1.565212241E0,6.188222504E1,4.730678839E0,3.383077704E0
7.172987723E1,6.650208518E1,2.575391967E1,1.041040309E2,1.541376360E0,6.188222504E1,4.727514749E0,3.387497798E0
7.272987270E1,6.650209270E1,2.575395041E1,1.040684528E2,1.531924506E0,6.188222504E1,4.727195415E0,3.387943409E0
7.372986948E1,6.650209014E1,2.575399022E1,1.041872735E2,1.504831727E0,6.188222504E1,4.726973294E0,3.388253312E0
7.472986495E1,6.650209010E1,2.575401667E1,1.036370453E2,1.490776175E0,6.188222504E1,4.728366718E0,3.386308493E0
7.572986138E1,6.650210086E1,2.575404463E1,1.039889219E2,1.513873227E0,6.188222504E1,4.729338652E0,3.384950952E0
7.672985661E1,6.650210697E1,2.575406927E1,1.034445055E2,1.501465514E0,6.188222504E1,4.729852470E0,3.384232948E0
7.772985220E1,6.650211038E1,2.575409568E1,1.045544316E2,1.488940416E0,6.226871109E1,4.729930243E0,3.384124248E0
7.872984910E1,6.650211770E1,2.575411284E1,1.052885327E2,1.382819438E0,6.226871109E1,4.730261443E0,3.383661288E0
7.972984457E1,6.650212151E1,2.575414437E1,1.051618113E2,1.472261025E0,6.493006134E1,4.731077472E0,3.382520213E0
8.072984052E1,6.650212873E1,2.575416980E1,1.060013556E2,1.469623507E0,6.493006134E1,4.730630613E0,3.383145140E0
8.172983634E1,6.650213296E1,2.575419881E1,1.067271073E2,1.436064493E0,6.493006134E1,4.730817940E0,3.382883186E0
8.272983217E1,6.650213207E1,2.575422925E1,1.069434437E2,1.431797230E0,6.585855103E1,4.730363235E0,3.383518981E0
8.372982812E1,6.650213619E1,2.575426165E1,1.063235964E2,1.515285335E0,6.585855103E1,4.732222059E0,3.380918724E0
8.472982359E1,6.650214574E1,2.575429316E1,1.064175371E2,1.493199054E0,6.585855103E1,4.730829366E0,3.382867207E0
8.572982013E1,6.650215363E1,2.575432483E1,1.060864037E2,1.495055706E0,6.585855103E1,4.731622448E0,3.381757834E0
8.672981632E1,6.650215818E1,2.575436353E1,1.062829012E2,1.530134453E0,6.585855103E1,4.732600535E0,3.380388914E0
8.772981143E1,6.650215959E1,2.575440223E1,1.066705767E2,1.541464214E0,6.585855103E1,4.733685584E0,3.378869311E0
8.872980833E1,6.650216988E1,2.575442869E1,1.066656504E2,1.505848462E0,6.585855103E1,4.732482220E0,3.380554551E0
8.972980356E1,6.650218295E1,2.575445123E1,1.064265660E2,1.501696828E0,6.585855103E1,4.731613252E0,3.381770700E0
9.072979963E1,6.650219200E1,2.575447804E1,1.066246734E2,1.471490877E0,6.585855103E1,4.730399539E0,3.383468225E0
9.172979581E1,6.650219306E1,2.575451738E1,1.072336695E2,1.445091247E0,6.680317688E1,4.729777296E0,3.384338010E0
