"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.107297539E2,6.650238158E1,2.575847552E1,1.186814886E2,1.516891236E0,1.165378113E2,4.737675686E0,3.373272317E0
2.117297500E2,6.650237987E1,2.575851501E1,1.193940483E2,1.567166733E0,1.165378113E2,4.737754264E0,3.373161953E0
2.127297451E2,6.650238329E1,2.575855038E1,1.203619546E2,1.607796500E0,7.452569368E1,4.737203151E0,3.373935883E0
2.137297417E2,6.650237935E1,2.575858008E1,1.212243726E2,1.485835766E0,7.959690782E1,4.737560759E0,3.373433723E0
2.147297384E2,6.650238065E1,2.575860505E1,1.208648186E2,1.560453624E0,7.172853587E1,4.737825645E0,3.373061694E0
2.157297347E2,6.650238081E1,2.575864209E1,1.208923397E2,1.570844917E0,7.193148167E1,4.737226007E0,3.373903791E0
2.167297298E2,6.650238520E1,2.575867461E1,1.205095315E2,1.521053107E0,6.391966778E1,4.736855051E0,3.374424582E0
2.177297261E2,6.650239897E1,2.575875398E1,1.208635383E2,1.567788249E0,7.132766724E1,4.737234148E0,3.373892361E0
2.187297217E2,6.650240073E1,2.575878960E1,1.203861292E2,1.529623921E0,7.132766724E1,4.737014456E0,3.374200806E0
2.197297179E2,6.650240326E1,2.575882391E1,1.204626835E2,1.538177245E0,7.132766724E1,4.737173309E0,3.373977782E0
2.207297144E2,6.650240696E1,2.575885613E1,1.201282578E2,1.544083602E0,7.266522217E1,4.736610046E0,3.374768481E0
2.217297093E2,6.650240441E1,2.575889358E1,1.206992057E2,1.556405767E0,8.076446533E1,4.736577377E0,3.374814333E0
2.227297060E2,6.650240924E1,2.575893036E1,1.206304277E2,1.557788076E0,8.076446533E1,4.736978566E0,3.374251191E0
2.237297014E2,6.650241309E1,2.575897261E1,1.208451622E2,1.589872110E0,7.652044678E1,4.737337208E0,3.373747650E0
2.247296978E2,6.650241605E1,2.575901108E1,1.205153705E2,1.576357940E0,7.652044678E1,4.736896716E0,3.374366094E0
2.257296931E2,6.650242061E1,2.575906158E1,1.211002687E2,1.724498114E0,7.652044678E1,4.734335208E0,3.377959024E0
2.267296908E2,6.650241852E1,2.575909893E1,1.207733332E2,1.566513218E0,8.348791504E1,4.734060752E0,3.378343652E0
2.277296863E2,6.650241604E1,2.575913825E1,1.206192420E2,1.525616768E0,9.204272461E1,4.734136536E0,3.378237454E0
2.287296816E2,6.650241407E1,2.575918339E1,1.214592718E2,1.586483200E0,9.610852051E1,4.734928123E0,3.377127878E0
2.297296785E2,6.650240757E1,2.575921819E1,1.222676264E2,1.523108373E0,1.009417419E2,4.735567987E0,3.376230572E0
2.307296747E2,6.650239918E1,2.575925439E1,1.220240836E2,1.561807924E0,1.042338562E2,4.734900787E0,3.377166204E0
2.317296703E2,6.650238991E1,2.575929166E1,1.217987562E2,1.591980505E0,1.090916443E2,4.733841322E0,3.378651117E0
2.327296664E2,6.650238450E1,2.575932204E1,1.236890099E2,1.437866813E0,1.090916443E2,4.736640597E0,3.374725601E0
2.337296629E2,6.650237539E1,2.575935593E1,1.235819304E2,1.541801755E0,1.090916443E2,4.737239848E0,3.373884356E0
2.347296585E2,6.650236417E1,2.575939191E1,1.228622990E2,1.597627261E0,1.090916443E2,4.735527876E0,3.376286831E0
2.357296543E2,6.650235727E1,2.575943019E1,1.226832463E2,1.569172736E0,1.103543701E2,4.733959585E0,3.378485412E0
2.367296510E2,6.650235155E1,2.575946814E1,1.224019814E2,1.590164918E0,1.103543701E2,4.734376367E0,3.377901338E0
2.377296468E2,6.650234460E1,2.575950309E1,1.223422250E2,1.556180757E0,1.103543701E2,4.734772726E0,3.377345743E0
2.387296425E2,6.650233873E1,2.575954331E1,1.227547789E2,1.623054064E0,1.103543701E2,4.736640502E0,3.374725736E0
2.397296387E2,6.650233704E1,2.575957846E1,1.234048621E2,1.468651251E0,1.103543701E2,4.737668670E0,3.373282171E0
2.407296351E2,6.650232380E1,2.575961866E1,1.234373295E2,1.634350890E0,1.103543701E2,4.737459545E0,3.373575862E0
2.417296305E2,6.650231870E1,2.575965307E1,1.232868601E2,1.573323749E0,1.103543701E2,4.736378357E0,3.375093641E0
2.427296274E2,6.650231469E1,2.575968011E1,1.228233677E2,1.486592900E0,1.103543701E2,4.733354249E0,3.379333453E0
2.437296231E2,6.650230960E1,2.575971451E1,1.230064649E2,1.516698142E0,1.103543701E2,4.732864472E0,3.380019368E0
2.447296190E2,6.650230611E1,2.575975102E1,1.230091265E2,1.569845194E0,1.053590393E2,4.735847085E0,3.375839069E0
2.457296147E2,6.650230836E1,2.575978837E1,1.227465699E2,1.544285452E0,1.024116211E2,4.736562897E0,3.374834656E0
2.467296104E2,6.650231279E1,2.575983457E1,1.231910052E2,1.622436256E0,9.734371948E1,4.735561712E0,3.376239374E0
2.477296073E2,6.650231297E1,2.575987305E1,1.234591836E2,1.598001402E0,9.734371948E1,4.735652811E0,3.376111592E0
2.487296027E2,6.650231725E1,2.575991125E1,1.240391679E2,1.580513266E0,9.380999756E1,4.735050396E0,3.376956437E0
2.497295988E2,6.650231888E1,2.575995383E1,1.242487406E2,1.585226110E0,8.576806641E1,4.735547556E0,3.376259229E0
2.507295951E2,6.650231923E1,2.575998933E1,1.243308974E2,1.590807166E0,8.576806641E1,4.735323786E0,3.376573066E0
2.517295914E2,6.650232096E1,2.576002642E1,1.244352088E2,1.560595276E0,9.000000000E1,4.734140534E0,3.378231851E0
2.527295867E2,6.650232137E1,2.576006618E1,1.249520218E2,1.583551618E0,9.000000000E1,4.734553972E0,3.377652397E0
2.537295828E2,6.650232343E1,2.576009935E1,1.238377207E2,1.498016141E0,8.576806641E1,4.735208314E0,3.376734999E0
2.547295790E2,6.650232539E1,2.576013435E1,1.236888136E2,1.457044055E0,8.576806641E1,4.735354641E0,3.376529795E0
2.557295748E2,6.650232362E1,2.576017269E1,1.256175148E2,1.519718171E0,8.576806641E1,4.735217417E0,3.376722234E0
2.567295712E2,6.650233243E1,2.576020670E1,1.262660077E2,1.504736850E0,7.652014160E1,4.734956320E0,3.377088344E0
2.577295672E2,6.650233351E1,2.576024377E1,1.265933769E2,1.495602696E0,7.652014160E1,4.734273519E0,3.378045483E0
2.587299281E2,6.650233949E1,2.576027943E1,1.266457651E2,1.581219265E0,7.375781250E1,4.734058812E0,3.378346370E0
2.597299407E2,6.650234477E1,2.576030797E1,1.279540469E2,1.458484813E0,6.780633545E1,4.733361228E0,3.379323678E0
2.607299421E2,6.650234939E1,2.576034890E1,1.283181673E2,1.523813471E0,6.780633545E1,4.733120752E0,3.379660483E0
2.617299412E2,6.650235119E1,2.576038714E1,1.289059544E2,1.534469166E0,7.051907349E1,4.733729261E0,3.378808120E0
2.627299448E2,6.650235068E1,2.576042370E1,1.272892704E2,1.502532151E0,7.051907349E1,4.735505004E0,3.376318911E0
2.637299451E2,6.650235562E1,2.576045328E1,1.274909972E2,1.471249265E0,6.780633545E1,4.736122248E0,3.375453019E0
2.647299500E2,6.650237216E1,2.576048317E1,1.284092182E2,1.586379797E0,6.627560425E1,4.734768274E0,3.377351984E0
2.657299610E2,6.650237953E1,2.576051481E1,1.289695211E2,1.595777733E0,6.627560425E1,4.732662384E0,3.380302322E0
2.667299640E2,6.650238952E1,2.576054145E1,1.288098560E2,1.576034542E0,6.627560425E1,4.732856657E0,3.380030311E0
2.677299668E2,6.650239296E1,2.576057840E1,1.282113699E2,1.557061863E0,6.627560425E1,4.732631282E0,3.380345867E0
2.687299675E2,6.650239916E1,2.576061109E1,1.287636851E2,1.599631436E0,6.627560425E1,4.731262874E0,3.382260879E0
2.697299660E2,6.650240497E1,2.576064006E1,1.288867054E2,1.532038447E0,6.521166992E1,4.729358768E0,3.384922846E0
2.707299718E2,6.650241161E1,2.576067136E1,1.287908158E2,1.614356101E0,6.521166992E1,4.727158601E0,3.387994775E0
2.717299752E2,6.650241983E1,2.576070450E1,1.290048926E2,1.628193535E0,6.521166992E1,4.724849502E0,3.391214269E0
2.727299750E2,6.650242418E1,2.576073801E1,1.288909869E2,1.601090914E0,6.263055420E1,4.725564235E0,3.390218236E0
2.737299731E2,6.650243124E1,2.576077217E1,1.294115968E2,1.597006202E0,6.263055420E1,4.726209056E0,3.389319252E0
2.747299716E2,6.650243785E1,2.576080416E1,1.285900805E2,1.550401897E0,6.263055420E1,4.729115048E0,3.385263342E0
2.757299691E2,6.650244354E1,2.576083590E1,1.282257283E2,1.499488754E0,6.263055420E1,4.732205085E0,3.380942482E0
2.767299684E2,6.650245037E1,2.576086474E1,1.284900588E2,1.529238697E0,6.263055420E1,4.733164710E0,3.379598920E0
2.777299656E2,6.650245464E1,2.576090376E1,1.292946260E2,1.592909595E0,6.263055420E1,4.730474212E0,3.383363824E0
2.787299643E2,6.650245993E1,2.576093519E1,1.290860179E2,1.606576052E0,6.263055420E1,4.729179583E0,3.385173187E0
2.797299622E2,6.650246382E1,2.576096746E1,1.296741225E2,1.553344617E0,6.263055420E1,4.728465616E0,3.386170397E0
2.807299594E2,6.650246590E1,2.576099983E1,1.298130027E2,1.554591943E0,6.263055420E1,4.727912269E0,3.386942959E0
2.817299565E2,6.650247588E1,2.576103556E1,1.300599573E2,1.617110343E0,6.380490112E1,4.731039903E0,3.382572759E0
2.827299548E2,6.650248251E1,2.576107095E1,1.303978801E2,1.604765276E0,6.380490112E1,4.731825620E0,3.381473545E0
2.837299516E2,6.650248729E1,2.576110313E1,1.301773855E2,1.556505962E0,6.380490112E1,4.732993213E0,3.379839090E0
2.847299489E2,6.650249527E1,2.576113424E1,1.298460129E2,1.495266269E0,6.482537842E1,4.734143722E0,3.378227383E0
2.857299465E2,6.650250195E1,2.576117260E1,1.301341849E2,1.565572169E0,6.807516479E1,4.734179994E0,3.378176553E0
2.867299441E2,6.650250791E1,2.576120708E1,1.304532886E2,1.569886810E0,6.807516479E1,4.733676487E0,3.378882056E0
2.877299410E2,6.650250547E1,2.576124478E1,1.310963452E2,1.557844010E0,7.261657715E1,4.733893119E0,3.378578543E0
2.887299383E2,6.650251034E1,2.576127832E1,1.306825684E2,1.582973132E0,7.261657715E1,4.733200924E0,3.379548201E0
2.897299346E2,6.650251814E1,2.576130977E1,1.312043348E2,1.584416047E0,7.261657715E1,4.734242283E0,3.378089258E0
2.907299314E2,6.650253189E1,2.576133948E1,1.324811851E2,1.567558572E0,6.807516479E1,4.733855104E0,3.378631807E0
2.917299285E2,6.650254405E1,2.576136957E1,1.325314288E2,1.646339766E0,6.807516479E1,4.732588313E0,3.380406025E0
2.927299266E2,6.650254099E1,2.576142146E1,1.317524844E2,1.593986799E0,7.638861084E1,4.733516175E0,3.379106635E0
2.937299227E2,6.650254203E1,2.576145623E1,1.316967228E2,1.542762554E0,7.970773315E1,4.735991015E0,3.375637146E0
2.947299198E2,6.650253303E1,2.576149822E1,1.319621693E2,1.595485126E0,9.184521484E1,4.736916665E0,3.374338089E0
2.957299166E2,6.650253002E1,2.576153511E1,1.333424028E2,1.534042510E0,9.552117920E1,4.737575827E0,3.373412562E0
2.967299137E2,6.650252505E1,2.576157012E1,1.335882950E2,1.522063129E0,9.552117920E1,4.738349600E0,3.372325622E0
2.977299100E2,6.650252352E1,2.576160437E1,1.338302216E2,1.495210781E0,9.552117920E1,4.738414196E0,3.372234858E0
2.987299074E2,6.650251779E1,2.576164333E1,1.329965751E2,1.560005986E0,9.758563232E1,4.738338012E0,3.372341905E0
2.997299032E2,6.650250790E1,2.576166983E1,1.320565933E2,1.475202373E0,1.049144897E2,4.737446699E0,3.373593900E0
3.007299006E2,6.650250135E1,2.576170552E1,1.325627039E2,1.580581373E0,1.075512695E2,4.737757602E0,3.373157266E0
3.017298977E2,6.650249314E1,2.576173512E1,1.323685937E2,1.547860568E0,1.075512695E2,4.737281565E0,3.373825782E0
3.027298936E2,6.650248803E1,2.576177311E1,1.329236505E2,1.610530265E0,1.117776794E2,4.736799961E0,3.374501914E0
3.037298896E2,6.650248278E1,2.576180724E1,1.328858124E2,1.577633697E0,1.075512695E2,4.737214553E0,3.373919873E0
3.047298861E2,6.650247700E1,2.576184367E1,1.337534028E2,1.583160764E0,1.075512695E2,4.738389168E0,3.372270026E0
3.057298841E2,6.650247367E1,2.576187812E1,1.328996232E2,1.557732078E0,1.075512695E2,4.738871914E0,3.371591615E0
3.067298807E2,6.650246589E1,2.576191153E1,1.331579224E2,1.563606566E0,1.124187622E2,4.737440872E0,3.373602083E0
3.077298763E2,6.650245998E1,2.576194741E1,1.335419131E2,1.583696869E0,1.124187622E2,4.737813592E0,3.373078624E0
3.087298738E2,6.650245319E1,2.576198920E1,1.341280122E2,1.635702777E0,1.124187622E2,4.738857285E0,3.371612176E0
3.097298691E2,6.650245323E1,2.576203028E1,1.339006989E2,1.601851452E0,1.124187622E2,4.739283436E0,3.371013134E0
3.107298660E2,6.650244791E1,2.576206975E1,1.334355740E2,1.585317925E0,1.124187622E2,4.739414723E0,3.370828550E0
3.117298632E2,6.650244182E1,2.576210614E1,1.335055564E2,1.574661873E0,1.148651428E2,4.738971335E0,3.371451871E0
3.127298595E2,6.650244156E1,2.576214429E1,1.339200076E2,1.589177089E0,1.148651428E2,4.736024023E0,3.375590835E0
3.137298561E2,6.650243974E1,2.576218697E1,1.343537611E2,1.634310617E0,1.145826416E2,4.734254286E0,3.378072437E0
3.147298522E2,6.650243358E1,2.576221586E1,1.340016956E2,1.566571678E0,1.145826416E2,4.734580062E0,3.377615826E0
3.157298483E2,6.650242724E1,2.576224646E1,1.338532821E2,1.542742878E0,1.145826416E2,4.732289234E0,3.380824697E0
3.167298449E2,6.650242273E1,2.576228332E1,1.344985331E2,1.614017551E0,1.145826416E2,4.734266078E0,3.378055911E0
3.177298410E2,6.650241587E1,2.576231173E1,1.341651713E2,1.584314759E0,1.145826416E2,4.732852918E0,3.380035545E0
3.187298373E2,6.650240904E1,2.576234509E1,1.339501720E2,1.551126705E0,1.145826416E2,4.733454009E0,3.379193717E0
3.197298340E2,6.650240365E1,2.576237857E1,1.332102143E2,1.516048774E0,1.165379639E2,4.733496179E0,3.379134646E0
3.207298299E2,6.650239556E1,2.576241102E1,1.332344227E2,1.533379073E0,1.165379639E2,4.733646383E0,3.378924230E0
3.217298267E2,6.650238948E1,2.576244813E1,1.331420327E2,1.525764330E0,1.179688721E2,4.732199057E0,3.380950919E0
3.227298232E2,6.650238207E1,2.576248558E1,1.326833755E2,1.519806763E0,1.179688721E2,4.732917365E0,3.379945302E0
3.237298205E2,6.650237599E1,2.576251753E1,1.328008907E2,1.544792759E0,1.179688721E2,4.733031606E0,3.379785326E0
3.247298156E2,6.650236723E1,2.576254982E1,1.330840790E2,1.507024484E0,1.189389038E2,4.732591555E0,3.380401486E0
3.257298119E2,6.650236166E1,2.576258515E1,1.331456573E2,1.570774616E0,1.189389038E2,4.731608137E0,3.381777857E0
3.267298093E2,6.650236085E1,2.576261965E1,1.331562439E2,1.514604362E0,1.189389038E2,4.731924362E0,3.381335368E0
3.277298056E2,6.650236387E1,2.576266599E1,1.337844231E2,1.589369176E0,1.189389038E2,4.733969783E0,3.378471122E0
3.287298019E2,6.650235112E1,2.576269532E1,1.343014509E2,1.601643414E0,1.189389038E2,4.734151500E0,3.378216483E0
3.297297981E2,6.650234216E1,2.576272602E1,1.343880715E2,1.568008836E0,1.199102173E2,4.735136974E0,3.376835038E0
3.307297951E2,6.650233863E1,2.576276489E1,1.346604893E2,1.570301264E0,1.199102173E2,4.734136856E0,3.378237005E0
3.317297953E2,6.650233146E1,2.576279883E1,1.355207413E2,1.572948671E0,1.199102173E2,4.734424289E0,3.377834171E0
3.327297876E2,6.650232434E1,2.576283106E1,1.350551043E2,1.567679972E0,1.199102173E2,4.734371881E0,3.377907625E0
3.337297832E2,6.650231431E1,2.576285970E1,1.351063165E2,1.597052399E0,1.199102173E2,4.732522549E0,3.380498092E0
3.347297791E2,6.650230011E1,2.576288165E1,1.356678994E2,1.588529522E0,1.199102173E2,4.732441954E0,3.380610918E0
3.357297755E2,6.650229115E1,2.576291380E1,1.355445053E2,1.590530494E0,1.199102173E2,4.732579129E0,3.380418883E0
3.367297732E2,6.650228389E1,2.576295826E1,1.359558285E2,1.625298330E0,1.199102173E2,4.733062520E0,3.379742034E0
3.377297686E2,6.650227202E1,2.576298414E1,1.355603448E2,1.598888257E0,1.199102173E2,4.733192867E0,3.379559486E0
3.387297654E2,6.650225966E1,2.576301351E1,1.353383481E2,1.564743229E0,1.204075928E2,4.732515060E0,3.380508577E0
3.397297615E2,6.650225035E1,2.576305698E1,1.364053189E2,1.633347520E0,1.204075928E2,4.734330289E0,3.377965918E0
3.407297578E2,6.650224428E1,2.576308706E1,1.372356060E2,1.512479052E0,1.204075928E2,4.737324027E0,3.373766159E0
3.417297536E2,6.650223541E1,2.576311324E1,1.372426799E2,1.558305208E0,1.204075928E2,4.738404801E0,3.372248059E0
3.427297502E2,6.650222849E1,2.576314867E1,1.366658259E2,1.590013457E0,1.204075928E2,4.736328719E0,3.375163300E0
3.437297474E2,6.650222476E1,2.576318324E1,1.361177747E2,1.519114893E0,1.193602295E2,4.736517534E0,3.374898322E0
3.447297426E2,6.650222423E1,2.576322366E1,1.371387733E2,1.582641532E0,1.193602295E2,4.737607342E0,3.373368302E0
3.457297395E2,6.650221804E1,2.576325748E1,1.369257588E2,1.603918368E0,1.193602295E2,4.737066135E0,3.374128253E0
3.467297361E2,6.650220811E1,2.576328593E1,1.361109202E2,1.564376746E0,1.199244995E2,4.735809226E0,3.375892180E0
3.477297317E2,6.650219907E1,2.576331750E1,1.354982423E2,1.557714118E0,1.199244995E2,4.735192529E0,3.376757135E0
3.487297279E2,6.650221234E1,2.576337634E1,1.353616567E2,1.676869951E0,1.170336304E2,4.735592920E0,3.376195600E0
3.497297240E2,6.650220494E1,2.576340321E1,1.356959674E2,1.579177828E0,1.170336304E2,4.733411490E0,3.379253275E0
3.507297208E2,6.650219565E1,2.576343852E1,1.362564358E2,1.612559151E0,1.170336304E2,4.735627156E0,3.376147578E0
3.517297171E2,6.650219334E1,2.576347249E1,1.368252894E2,1.536533880E0,1.170336304E2,4.735981957E0,3.375649854E0
3.527297134E2,6.650217629E1,2.576349446E1,1.363453409E2,1.597525791E0,1.170336304E2,4.734533234E0,3.377681467E0
3.537297131E2,6.650216742E1,2.576352780E1,1.361804465E2,1.588525306E0,1.170336304E2,4.733698169E0,3.378851680E0
3.547297057E2,6.650216249E1,2.576356298E1,1.369771716E2,1.611625826E0,1.170336304E2,4.735139643E0,3.376831295E0
3.557297021E2,6.650215749E1,2.576359528E1,1.367966798E2,1.530722469E0,1.170336304E2,4.735356039E0,3.376527834E0
3.567296982E2,6.650214540E1,2.576361991E1,1.365372409E2,1.518206403E0,1.170336304E2,4.734314312E0,3.377988310E0
3.577296946E2,6.650213643E1,2.576365030E1,1.367461596E2,1.636577573E0,1.170336304E2,4.733122268E0,3.379658359E0
3.587296908E2,6.650213200E1,2.576368649E1,1.368530672E2,1.588713059E0,1.170336304E2,4.732927045E0,3.379931748E0
3.597296882E2,6.650212664E1,2.576371953E1,1.370374202E2,1.609994405E0,1.170336304E2,4.733052129E0,3.379756586E0
3.607296840E2,6.650212179E1,2.576375131E1,1.370571630E2,1.506597288E0,1.170336304E2,4.733719002E0,3.378822493E0
3.617296807E2,6.650211554E1,2.576378651E1,1.370192900E2,1.556805050E0,1.167690430E2,4.733278423E0,3.379439659E0
3.627296762E2,6.650211264E1,2.576382636E1,1.372264823E2,1.596756687E0,1.167690430E2,4.734785438E0,3.377327922E0
3.637296735E2,6.650210215E1,2.576386431E1,1.378240944E2,1.637279507E0,1.167690430E2,4.735195121E0,3.376753500E0
3.647296692E2,6.650209259E1,2.576389756E1,1.378611499E2,1.608536956E0,1.167690430E2,4.734583236E0,3.377611377E0
3.657296659E2,6.650208375E1,2.576393101E1,1.381897859E2,1.606334972E0,1.167690430E2,4.734795198E0,3.377314238E0
3.667296617E2,6.650207201E1,2.576395825E1,1.377536559E2,1.577989891E0,1.199524841E2,4.734207515E0,3.378137984E0
3.677296586E2,6.650206191E1,2.576397748E1,1.374330441E2,1.542266877E0,1.199524841E2,4.732595657E0,3.380395743E0
3.687296543E2,6.650205353E1,2.576400709E1,1.372324080E2,1.589312007E0,1.199524841E2,4.731154590E0,3.382412346E0
3.697296511E2,6.650204904E1,2.576403897E1,1.378336113E2,1.569226028E0,1.199524841E2,4.733173574E0,3.379586507E0
3.707296474E2,6.650204201E1,2.576406946E1,1.380503918E2,1.595197111E0,1.199524841E2,4.733943692E0,3.378507681E0
3.717296437E2,6.650203789E1,2.576410696E1,1.376752455E2,1.573480854E0,1.199524841E2,4.733926389E0,3.378531927E0
3.727296399E2,6.650203066E1,2.576414532E1,1.382048896E2,1.631319016E0,1.199524841E2,4.734345081E0,3.377945187E0
3.737296362E2,6.650202377E1,2.576418270E1,1.389123447E2,1.611218013E0,1.199524841E2,4.735593724E0,3.376194473E0
3.747296324E2,6.650202159E1,2.576422419E1,1.395482411E2,1.621645865E0,1.199524841E2,4.736280128E0,3.375231485E0
3.757296292E2,6.650201202E1,2.576425135E1,1.409160617E2,1.540701002E0,1.200391235E2,4.738400858E0,3.372253599E0
3.767296253E2,6.650200282E1,2.576428969E1,1.410722863E2,1.634270435E0,1.200391235E2,4.738407275E0,3.372244583E0
3.777296220E2,6.650199324E1,2.576432195E1,1.412632073E2,1.621464283E0,1.200391235E2,4.736876874E0,3.374393947E0
3.787296181E2,6.650198266E1,2.576434958E1,1.409154850E2,1.632053375E0,1.255911560E2,4.735066073E0,3.376934455E0
3.797296139E2,6.650197744E1,2.576438143E1,1.403782654E2,1.559547767E0,1.255911560E2,4.733219082E0,3.379522771E0
3.807296098E2,6.650196584E1,2.576440995E1,1.411958200E2,1.632788298E0,1.274439087E2,4.734924561E0,3.377132872E0
3.817296062E2,6.650197095E1,2.576444828E1,1.413852857E2,1.573763565E0,1.255911560E2,4.734759380E0,3.377364452E0
3.827296025E2,6.650198249E1,2.576448171E1,1.415721610E2,1.616733186E0,1.255911560E2,4.737005959E0,3.374212734E0
3.837295996E2,6.650195589E1,2.576451128E1,1.419905834E2,1.639839606E0,1.274439087E2,4.734844908E0,3.377244547E0
3.847298692E2,6.650193814E1,2.576452846E1,1.417097846E2,1.629813552E0,1.279151306E2,4.733817468E0,3.378684538E0
3.857298748E2,6.650192620E1,2.576455133E1,1.410360149E2,1.612430488E0,1.279151306E2,4.730840128E0,3.382852157E0
3.867298734E2,6.650191664E1,2.576458337E1,1.406029557E2,1.602700191E0,1.279151306E2,4.730930773E0,3.382725388E0
3.877298758E2,6.650191137E1,2.576462107E1,1.399528672E2,1.585644669E0,1.279151306E2,4.732105417E0,3.381081980E0
3.887298806E2,6.650190230E1,2.576464775E1,1.399678267E2,1.546292684E0,1.279151306E2,4.732645385E0,3.380326123E0
3.897298821E2,6.650189965E1,2.576469751E1,1.405681658E2,1.666825018E0,1.279151306E2,4.732859183E0,3.380026773E0
3.907298918E2,6.650189471E1,2.576474287E1,1.405839947E2,1.670024593E0,1.011381836E2,4.732911467E0,3.379953562E0
3.917298934E2,6.650189430E1,2.576478429E1,1.422305033E2,1.552278202E0,1.011381836E2,4.735050737E0,3.376955959E0
3.927298955E2,6.650189125E1,2.576482777E1,1.409075623E2,1.641000261E0,1.011381836E2,4.736749654E0,3.374572528E0
3.937299048E2,6.650188941E1,2.576486762E1,1.412829708E2,1.639260818E0,1.011381836E2,4.735646007E0,3.376121136E0
3.947299058E2,6.650188721E1,2.576490621E1,1.414197518E2,1.636276574E0,1.006079407E2,4.736048354E0,3.375556698E0
3.957299082E2,6.650188369E1,2.576493438E1,1.411216206E2,1.565507782E0,1.006079407E2,4.736014340E0,3.375604421E0
3.967299116E2,6.650187912E1,2.576497335E1,1.415713559E2,1.630439317E0,1.006079407E2,4.736282628E0,3.375227977E0
3.977299149E2,6.650187297E1,2.576500986E1,1.416228818E2,1.635331294E0,1.051927490E2,4.735445979E0,3.376401696E0
3.987299165E2,6.650187186E1,2.576504878E1,1.421966689E2,1.622817267E0,1.051927490E2,4.736627367E0,3.374744171E0
3.997299175E2,6.650186653E1,2.576508463E1,1.419039712E2,1.627388002E0,1.051927490E2,4.736595637E0,3.374788705E0
4.007299182E2,6.650186457E1,2.576513188E1,1.420179013E2,1.714094428E0,1.051927490E2,4.736423576E0,3.375030183E0
4.017299180E2,6.650185785E1,2.576516440E1,1.419810544E2,1.628702756E0,1.051927490E2,4.735930370E0,3.375722229E0
4.027299182E2,6.650185004E1,2.576519636E1,1.418756465E2,1.614106562E0,1.051927490E2,4.735707115E0,3.376035420E0
4.037299178E2,6.650184847E1,2.576523355E1,1.415383835E2,1.599273227E0,1.051927490E2,4.735370890E0,3.376507007E0
4.047299179E2,6.650184631E1,2.576527237E1,1.413779768E2,1.616712264E0,1.051927490E2,4.736100128E0,3.375484055E0
4.057299174E2,6.650184740E1,2.576531175E1,1.420702363E2,1.637144104E0,1.051927490E2,4.737027933E0,3.374181885E0
4.067299170E2,6.650184781E1,2.576534244E1,1.425288578E2,1.553595009E0,1.051927490E2,4.737501704E0,3.373516658E0
4.077299156E2,6.650185096E1,2.576538005E1,1.431735367E2,1.591408774E0,1.051927490E2,4.737620609E0,3.373349670E0
4.087299186E2,6.650185245E1,2.576541845E1,1.433802796E2,1.625764561E0,1.051927490E2,4.737962798E0,3.372869040E0
4.097299142E2,6.650185146E1,2.576545220E1,1.446496582E2,1.521565470E0,1.051927490E2,4.738900900E0,3.371550874E0
4.107299123E2,6.650184820E1,2.576549939E1,1.437882930E2,1.675118357E0,1.076961670E2,4.738089954E0,3.372690413E0
4.117299113E2,6.650185098E1,2.576553172E1,1.439630274E2,1.574724136E0,1.076961670E2,4.737422942E0,3.373627261E0
4.127299104E2,6.650185146E1,2.576556757E1,1.437213655E2,1.571119191E0,1.076961670E2,4.737530475E0,3.373476253E0
4.137299085E2,6.650185178E1,2.576559651E1,1.432734610E2,1.444851178E0,1.076961670E2,4.738840559E0,3.371635685E0
4.147299067E2,6.650186022E1,2.576563197E1,1.429082214E2,1.501022222E0,7.435595280E1,4.739440332E0,3.370792544E0
4.157299048E2,6.650186847E1,2.576566287E1,1.435060829E2,1.575304905E0,5.961218262E1,4.738759371E0,3.371749791E0
4.167299030E2,6.650188225E1,2.576568565E1,1.440252536E2,1.602191743E0,5.478021240E1,4.737725579E0,3.373202243E0
4.177299004E2,6.650189258E1,2.576571078E1,1.444273118E2,1.641696116E0,5.478021240E1,4.735352073E0,3.376533397E0
4.187298989E2,6.650190175E1,2.576573766E1,1.439915527E2,1.609253889E0,5.961218262E1,4.735069148E0,3.376930144E0
4.197298968E2,6.650190956E1,2.576577069E1,1.442953121E2,1.641856929E0,5.961218262E1,4.734356240E0,3.377929548E0
4.207298945E2,6.650192003E1,2.576580056E1,1.444465746E2,1.635534302E0,5.961218262E1,4.734239174E0,3.378093615E0
4.217298925E2,6.650193017E1,2.576582701E1,1.452621923E2,1.582341198E0,5.961218262E1,4.733437621E0,3.379216673E0
4.227298900E2,6.650193551E1,2.576586240E1,1.450926708E2,1.609298065E0,5.971252441E1,4.732944827E0,3.379906847E0
4.237298876E2,6.650194103E1,2.576589663E1,1.443150910E2,1.590774344E0,5.971252441E1,4.733279844E0,3.379437668E0
4.247298851E2,6.650194727E1,2.576592857E1,1.447777633E2,1.599487618E0,5.971252441E1,4.733808731E0,3.378696780E0
4.257298825E2,6.650195484E1,2.576596155E1,1.453328241E2,1.616327419E0,5.971252441E1,4.732583840E0,3.380412287E0
4.267298803E2,6.650196346E1,2.576598558E1,1.467354303E2,1.457719147E0,5.971252441E1,4.732774844E0,3.380144864E0
